drug	protein
MEGESTROL ACETATE	930
MITOXANTRONE	14427
NSC141540	13870
NSC141540	14427
PAZOPANIB HYDROCHLORIDE	3937
PAZOPANIB HYDROCHLORIDE	3844
PAZOPANIB HYDROCHLORIDE	2240
PEMETREXED	11831
PEMETREXED	1056
PEMETREXED	5964
PEMETREXED	13853
RALOXIFENE	14217
RALOXIFENE	8055
RALOXIFENE	4067
RALOXIFENE	11678
RUXOLITINIB	15264
RUXOLITINIB	8005
RUXOLITINIB	13672
RUXOLITINIB	11808
TENIPOSIDE	14427
VANDETANIB	15634
VANDETANIB	11565
VANDETANIB	16624
VANDETANIB	3402
VANDETANIB	8413
VISMODEGIB	1435
ABT-263 (NAVITOCLAX)	12883
ABT-263 (NAVITOCLAX)	1469
ABT-263 (NAVITOCLAX)	12430
BARDOXOLONE METHYL	407
CARFILZOMIB (PR-171)	9203
CARFILZOMIB (PR-171)	8732
CARFILZOMIB (PR-171)	10827
CARFILZOMIB (PR-171)	2314
CARFILZOMIB (PR-171)	10831
CARFILZOMIB (PR-171)	10535
TOPOTECAN	6893
TOPOTECAN	9046
DEXAMETHASONE	11123
DEXAMETHASONE	930
DEXAMETHASONE	11412
DEXAMETHASONE	7470
DEXAMETHASONE	6778
ETOPOSIDE	13870
ETOPOSIDE	14427
GEMCITABINE	4767
GEMCITABINE	5964
GEMCITABINE	10264
METFORMIN	15074
METFORMIN	858
METFORMIN	4794
VINBLASTINE	6304
VINBLASTINE	10150
VINBLASTINE	9658
VINBLASTINE	4790
VINBLASTINE	7662
VINBLASTINE	1512
