cell,protein
BT-549,6554
BT-549,5511
BT-549,13134
BT-549,6335
BT-549,1338
BT-549,16166
BT-549,14488
BT-549,16700
BT-549,473
BT-549,12277
BT-549,3768
BT-549,15960
BT-549,7725
BT-549,8344
BT-549,4688
BT-549,14064
BT-549,5368
BT-549,9597
BT-549,16421
BT-549,14026
BT-549,14800
BT-549,7856
BT-549,3367
BT-549,7496
BT-549,9671
BT-549,14136
BT-549,11128
BT-549,1568
BT-549,9200
BT-549,15705
BT-549,1195
BT-549,3195
BT-549,15621
BT-549,11723
BT-549,4467
BT-549,4891
BT-549,8106
BT-549,16177
BT-549,13736
BT-549,10694
BT-549,2548
BT-549,12569
BT-549,7414
BT-549,16860
BT-549,2414
BT-549,3217
BT-549,7142
BT-549,16413
BT-549,16199
BT-549,240
BT-549,2686
BT-549,9874
BT-549,15592
BT-549,14979
BT-549,3308
BT-549,11662
BT-549,12865
BT-549,7118
BT-549,9430
BT-549,10219
BT-549,9981
BT-549,12526
BT-549,12375
BT-549,13324
BT-549,1837
BT-549,16993
BT-549,5074
BT-549,723
BT-549,15272
BT-549,2560
BT-549,11016
BT-549,8080
BT-549,9676
BT-549,12615
BT-549,513
BT-549,1233
BT-549,14367
BT-549,10257
BT-549,3820
BT-549,8367
BT-549,7670
BT-549,15363
BT-549,6944
BT-549,1049
BT-549,5673
BT-549,12621
BT-549,12544
BT-549,15776
BT-549,2280
BT-549,14718
BT-549,1474
BT-549,10191
BT-549,7666
BT-549,6198
BT-549,7236
BT-549,5558
BT-549,16170
BT-549,15278
BT-549,9093
BT-549,9988
BT-549,10465
BT-549,15850
BT-549,4186
BT-549,12914
BT-549,2010
BT-549,14018
BT-549,15042
BT-549,4297
BT-549,16519
BT-549,12079
CAKI-1,4306
CAKI-1,4416
CAKI-1,17083
CAKI-1,12653
CAKI-1,2419
CAKI-1,320
CAKI-1,487
CAKI-1,2202
CAKI-1,14608
CAKI-1,8229
CAKI-1,8581
CAKI-1,848
CAKI-1,9703
CAKI-1,15466
CAKI-1,8563
CAKI-1,1513
CAKI-1,16178
CAKI-1,2314
CAKI-1,916
CAKI-1,10779
CAKI-1,4791
CAKI-1,7949
CAKI-1,1904
CAKI-1,16086
CAKI-1,5110
CAKI-1,16493
CAKI-1,15526
CAKI-1,3452
CAKI-1,7583
CAKI-1,10553
CAKI-1,8751
CAKI-1,12164
CAKI-1,15853
CAKI-1,13574
CAKI-1,7903
CAKI-1,3245
CAKI-1,11669
CAKI-1,11191
CAKI-1,15737
CAKI-1,11325
CAKI-1,13660
CAKI-1,16450
CAKI-1,4845
CAKI-1,13887
CAKI-1,15186
CAKI-1,7273
CAKI-1,12652
CAKI-1,8223
CAKI-1,3828
CAKI-1,12933
CAKI-1,3502
CAKI-1,15080
CAKI-1,13952
CAKI-1,14107
CAKI-1,6574
CAKI-1,9898
CAKI-1,9665
CAKI-1,4032
CAKI-1,4790
CAKI-1,6814
CAKI-1,4967
CAKI-1,1278
CAKI-1,15508
CAKI-1,12706
CAKI-1,15535
CAKI-1,15378
CAKI-1,14002
CAKI-1,8308
CAKI-1,14773
CAKI-1,4140
CAKI-1,6047
CAKI-1,13584
CAKI-1,15792
CAKI-1,5806
CAKI-1,7497
CAKI-1,10125
CAKI-1,4707
CAKI-1,15123
CAKI-1,3120
CAKI-1,17037
CAKI-1,4394
CAKI-1,10376
CAKI-1,5892
CAKI-1,864
CAKI-1,14758
CAKI-1,449
CAKI-1,3035
CAKI-1,15149
CAKI-1,17015
CAKI-1,9273
CAKI-1,12126
CAKI-1,10974
CAKI-1,9639
CAKI-1,2362
CAKI-1,3461
CAKI-1,1579
CAKI-1,13632
CAKI-1,10665
CAKI-1,14445
CAKI-1,7038
CAKI-1,16081
CAKI-1,16278
CAKI-1,8238
CAKI-1,15814
CAKI-1,8236
CAKI-1,4302
CAKI-1,12445
CAKI-1,1073
CAKI-1,3186
CAKI-1,14775
CAKI-1,8609
CAKI-1,10401
CAKI-1,8555
CAKI-1,12008
CAKI-1,14523
CAKI-1,1333
CAKI-1,5493
CAKI-1,11044
CAKI-1,9587
CAKI-1,13026
CAKI-1,9561
CAKI-1,10617
CAKI-1,16068
CAKI-1,14298
CAKI-1,6060
CAKI-1,3337
CAKI-1,8230
CAKI-1,15508
CAKI-1,8233
CAKI-1,6256
CAKI-1,5383
CAKI-1,14694
CAKI-1,6308
CAKI-1,9204
CAKI-1,9892
CAKI-1,678
CAKI-1,15793
CAKI-1,853
CAKI-1,2420
CAKI-1,809
CAKI-1,5516
CAKI-1,13655
CAKI-1,2391
CAKI-1,10288
CAKI-1,9203
CAKI-1,10089
CAKI-1,4215
CAKI-1,11896
CAKI-1,5555
CAKI-1,16426
CAKI-1,14798
CAKI-1,9286
CAKI-1,13948
CAKI-1,967
CAKI-1,15967
CAKI-1,10188
CAKI-1,1405
CAKI-1,4305
CAKI-1,4301
CAKI-1,5539
CAKI-1,15260
CAKI-1,8234
CAKI-1,4841
CAKI-1,14812
CAKI-1,12623
CAKI-1,16586
CAKI-1,5387
CAKI-1,4438
CAKI-1,14449
CAKI-1,13227
CAKI-1,16191
CAKI-1,16086
CAKI-1,12193
CAKI-1,12413
CAKI-1,13225
CAKI-1,3341
CAKI-1,16441
CAKI-1,6145
CAKI-1,15810
CAKI-1,15765
CAKI-1,17088
CAKI-1,7802
CAKI-1,15394
CAKI-1,14242
CAKI-1,16374
CAKI-1,8701
CAKI-1,10759
CAKI-1,14029
CAKI-1,16643
CAKI-1,15593
CAKI-1,4797
CAKI-1,6746
CAKI-1,625
CAKI-1,6423
CAKI-1,15229
CAKI-1,16472
CAKI-1,15667
CAKI-1,1021
CAKI-1,10210
CAKI-1,1181
CAKI-1,10289
CAKI-1,7679
CAKI-1,3530
CAKI-1,14604
CAKI-1,6960
CAKI-1,15292
CAKI-1,703
CAKI-1,996
CAKI-1,2340
CAKI-1,12654
CAKI-1,13541
CAKI-1,15774
CAKI-1,15481
CAKI-1,12633
CAKI-1,746
CAKI-1,3345
CAKI-1,11633
CAKI-1,15369
CAKI-1,3250
CAKI-1,4700
CAKI-1,13425
CAKI-1,6554
CAKI-1,9635
CAKI-1,6335
CAKI-1,16166
CAKI-1,14488
CAKI-1,10423
CAKI-1,473
CAKI-1,12277
CAKI-1,3768
CAKI-1,1935
CAKI-1,15960
CAKI-1,6150
CAKI-1,7725
CAKI-1,11332
CAKI-1,4688
CAKI-1,14064
CAKI-1,9597
CAKI-1,14800
CAKI-1,4646
CAKI-1,12299
CAKI-1,7856
CAKI-1,3367
CAKI-1,8235
CAKI-1,9671
CAKI-1,14136
CAKI-1,9200
CAKI-1,8499
CAKI-1,3195
CAKI-1,15621
CAKI-1,4121
CAKI-1,4467
CAKI-1,4891
CAKI-1,8106
CAKI-1,16177
CAKI-1,13736
CAKI-1,10694
CAKI-1,7414
CAKI-1,16860
CAKI-1,2414
CAKI-1,3217
CAKI-1,7142
CAKI-1,14187
CAKI-1,16281
CAKI-1,16413
CAKI-1,3161
CAKI-1,16199
CAKI-1,240
CAKI-1,2068
CAKI-1,13506
CAKI-1,2686
CAKI-1,30
CAKI-1,14979
CAKI-1,15223
CAKI-1,3308
CAKI-1,11662
CAKI-1,7118
CAKI-1,9700
CAKI-1,10219
CAKI-1,9981
CAKI-1,12526
CAKI-1,12375
CAKI-1,13324
CAKI-1,12804
CAKI-1,5074
CAKI-1,8930
CAKI-1,723
CAKI-1,15272
CAKI-1,15816
CAKI-1,2560
CAKI-1,7921
CAKI-1,9676
CAKI-1,12615
CAKI-1,513
CAKI-1,1233
CAKI-1,14367
CAKI-1,7899
CAKI-1,3820
CAKI-1,552
CAKI-1,3058
CAKI-1,7670
CAKI-1,1049
CAKI-1,5673
CAKI-1,4804
CAKI-1,12621
CAKI-1,12544
CAKI-1,2280
CAKI-1,14718
CAKI-1,1474
CAKI-1,7666
CAKI-1,15200
CAKI-1,5558
CAKI-1,10163
CAKI-1,16170
CAKI-1,9093
CAKI-1,4304
CAKI-1,10465
CAKI-1,15850
CAKI-1,7517
CAKI-1,4186
CAKI-1,444
CAKI-1,2010
CAKI-1,14018
CAKI-1,4357
CAKI-1,15042
CAKI-1,4297
CAKI-1,12079
CCRF-CEM,848
CCRF-CEM,1513
CCRF-CEM,10779
CCRF-CEM,16086
CCRF-CEM,5110
CCRF-CEM,7903
CCRF-CEM,8223
CCRF-CEM,12706
CCRF-CEM,9639
CCRF-CEM,3186
CCRF-CEM,10617
CCRF-CEM,16426
CCRF-CEM,8234
CCRF-CEM,13227
CCRF-CEM,16191
CCRF-CEM,16086
CCRF-CEM,6145
CCRF-CEM,6423
CCRF-CEM,13736
CCRF-CEM,13324
CCRF-CEM,723
CCRF-CEM,12621
CCRF-CEM,14718
CCRF-CEM,7666
CCRF-CEM,15850
CCRF-CEM,2010
COLO 205,12062
COLO 205,10771
COLO 205,8195
COLO 205,14608
COLO 205,8229
COLO 205,848
COLO 205,9703
COLO 205,1513
COLO 205,10779
COLO 205,4791
COLO 205,7949
COLO 205,4836
COLO 205,16086
COLO 205,5110
COLO 205,16493
COLO 205,15526
COLO 205,3452
COLO 205,11742
COLO 205,12164
COLO 205,15853
COLO 205,13574
COLO 205,7903
COLO 205,3245
COLO 205,17088
COLO 205,11669
COLO 205,11191
COLO 205,15737
COLO 205,4390
COLO 205,16976
COLO 205,15186
COLO 205,12652
COLO 205,8223
COLO 205,12933
COLO 205,3502
COLO 205,15080
COLO 205,6814
COLO 205,4967
COLO 205,16976
COLO 205,14597
COLO 205,14731
COLO 205,15508
COLO 205,12706
COLO 205,15535
COLO 205,15378
COLO 205,14002
COLO 205,16926
COLO 205,6047
COLO 205,15792
COLO 205,5806
COLO 205,7497
COLO 205,10125
COLO 205,15123
COLO 205,10376
COLO 205,864
COLO 205,14758
COLO 205,17088
COLO 205,1287
COLO 205,17015
COLO 205,9165
COLO 205,12126
COLO 205,9639
COLO 205,5219
COLO 205,15498
COLO 205,9009
COLO 205,10665
COLO 205,15760
COLO 205,16081
COLO 205,16278
COLO 205,8238
COLO 205,8236
COLO 205,12445
COLO 205,3186
COLO 205,14775
COLO 205,12008
COLO 205,14523
COLO 205,5493
COLO 205,9561
COLO 205,10617
COLO 205,17088
COLO 205,16068
COLO 205,17093
COLO 205,7770
COLO 205,6060
COLO 205,3337
COLO 205,8230
COLO 205,8233
COLO 205,6256
COLO 205,14694
COLO 205,6308
COLO 205,16926
COLO 205,15793
COLO 205,853
COLO 205,2420
COLO 205,5516
COLO 205,1662
COLO 205,2391
COLO 205,10089
COLO 205,16426
COLO 205,14798
COLO 205,13948
COLO 205,967
COLO 205,15967
COLO 205,15228
COLO 205,5539
COLO 205,8234
COLO 205,16586
COLO 205,5387
COLO 205,4438
COLO 205,13227
COLO 205,16191
COLO 205,5290
COLO 205,16670
COLO 205,16086
COLO 205,12413
COLO 205,4887
COLO 205,3341
COLO 205,16441
COLO 205,6145
COLO 205,17088
COLO 205,14461
COLO 205,15394
COLO 205,16374
COLO 205,11430
COLO 205,10759
COLO 205,14029
COLO 205,17088
COLO 205,15593
COLO 205,6872
COLO 205,625
COLO 205,6423
COLO 205,2139
COLO 205,15229
COLO 205,4076
COLO 205,16472
COLO 205,15667
COLO 205,1021
COLO 205,10289
COLO 205,13537
COLO 205,9670
COLO 205,15292
COLO 205,703
COLO 205,2340
COLO 205,746
COLO 205,7203
COLO 205,11633
COLO 205,15369
COLO 205,4700
COLO 205,13425
COLO 205,16976
COLO 205,6335
COLO 205,1338
COLO 205,16166
COLO 205,14488
COLO 205,13077
COLO 205,16564
COLO 205,12277
COLO 205,1935
COLO 205,15960
COLO 205,7725
COLO 205,11332
COLO 205,4688
COLO 205,5368
COLO 205,9597
COLO 205,14800
COLO 205,12299
COLO 205,7856
COLO 205,3367
COLO 205,8235
COLO 205,6983
COLO 205,7496
COLO 205,9671
COLO 205,14136
COLO 205,17093
COLO 205,6086
COLO 205,9200
COLO 205,15705
COLO 205,8499
COLO 205,15621
COLO 205,4121
COLO 205,4467
COLO 205,8106
COLO 205,16177
COLO 205,13736
COLO 205,8232
COLO 205,10694
COLO 205,16858
COLO 205,14204
COLO 205,16860
COLO 205,2414
COLO 205,3217
COLO 205,7142
COLO 205,14187
COLO 205,16413
COLO 205,16199
COLO 205,2686
COLO 205,14979
COLO 205,3308
COLO 205,11662
COLO 205,7118
COLO 205,10219
COLO 205,9981
COLO 205,2582
COLO 205,12526
COLO 205,12375
COLO 205,13324
COLO 205,7706
COLO 205,5074
COLO 205,723
COLO 205,15272
COLO 205,17088
COLO 205,15816
COLO 205,9676
COLO 205,12615
COLO 205,1233
COLO 205,11658
COLO 205,7670
COLO 205,13661
COLO 205,1049
COLO 205,5673
COLO 205,12621
COLO 205,12544
COLO 205,16926
COLO 205,2280
COLO 205,14718
COLO 205,1474
COLO 205,7666
COLO 205,7420
COLO 205,9093
COLO 205,9988
COLO 205,10465
COLO 205,17093
COLO 205,15850
COLO 205,7517
COLO 205,4186
COLO 205,12914
COLO 205,2010
COLO 205,15042
DU-145,320
DU-145,8229
DU-145,848
DU-145,1513
DU-145,4791
DU-145,16086
DU-145,16493
DU-145,15526
DU-145,15853
DU-145,7903
DU-145,3245
DU-145,11191
DU-145,8223
DU-145,15080
DU-145,1278
DU-145,15508
DU-145,12706
DU-145,14002
