drug	protein
3467	13853
3763	13729
3763	14902
3763	14430
3763	15167
3763	11922
3763	294
3763	8555
3763	16323
3763	9968
3763	9626
4236	3174
4236	5275
3902	12674
56959	6429
56959	5259
56959	15496
56959	11473
56959	9793
110635	8330
110635	3835
110635	6867
4044	9427
4044	9064
5472	5331
5426	941
5426	13956
5426	780
5426	14374
5426	9427
5426	13813
4449	15449
4449	3423
4449	2217
4449	5998
4449	523
4449	3174
4449	5275
4449	3563
4449	11660
4449	2310
1983	16887
1983	9427
1983	9064
4178	14372
4178	1172
3198	7470
4542	6624
4542	3340
4542	10801
5311027	10074
5311027	4124
5311027	8511
110634	8330
110634	6867
110634	2955
4674	8516
4674	3700
4674	5638
4674	6992
4828	9793
4828	5156
4828	5998
4828	9915
4828	8044
4828	8044
4064	13729
4064	14917
4064	9978
4064	2685
4064	7452
4064	3364
4064	16323
47320	13238
71158	1015
71158	5233
71158	11137
1978	9793
1978	5156
4993	13853
4993	2164
564	5465
564	549
564	6340
4095	13800
4095	1015
4095	1028
4095	8393
4095	14303
4095	5962
4095	9968
4095	9626
4440	10789
4440	9915
4440	6465
4440	5998
3702	14103
13342	4790
13342	7662
13342	6304
13342	1512
13342	9658
13342	10150
2099	8393
123631	3402
2375	10801
3117	2225
3117	12260
3114	14372
3114	5257
3114	13996
3114	1744
3114	7250
3114	6213
3114	2310
3114	13813
3059	9427
3059	9064
3062316	10344
3062316	10602
3062316	8722
3062316	7582
3062316	16140
3062316	3937
3062316	2240
3062316	4155
3062316	15104
3062316	8296
3062316	17009
3062316	16884
3062316	5022
3062316	527
3062316	16795
3062316	8692
3062316	10683
3062316	16504
3062316	15272
3062316	15164
3062316	10878
3062316	879
3062316	2667
2995	523
2995	5156
2995	2217
2995	15449
2995	9793
2995	7773
2995	12754
2995	11473
2995	5257
2995	13996
2995	1744
2995	14352
2995	11963
2995	5998
2995	3423
2995	9116
2995	13333
5878	10801
2141	4283
5381	1663
5381	10800
5381	13543
5381	7151
4771	523
4771	2217
4771	3174
4771	7800
4771	11298
4771	13161
3827	12754
3827	3194
3821	9169
3821	5025
3821	9116
3821	1028
3821	523
3821	2881
3821	13800
3821	11963
3821	3423
3821	6465
3821	8393
3821	14303
3821	2695
3821	16583
2130	9169
2130	14303
2130	9116
2130	9968
2130	5962
3373	13729
3373	14391
3373	7452
3373	16323
3372	9116
3372	12336
3372	8555
3372	10801
3372	15449
3372	3423
2519	9375
2519	7133
2519	7473
2519	8859
2519	14853
2519	5827
2519	11198
2519	2619
2519	3969
2519	10737
2519	3505
2519	5098
2519	9865
2519	8330
115237	15449
115237	9116
115237	12754
115237	11660
115237	5275
115237	171
115237	10789
115237	11974
115237	3423
115237	3563
115237	16780
115237	13333
115237	5998
115237	12336
115237	7590
60164	7151
60164	13543
60164	10800
60164	8880
60164	14813
60164	10150
60164	2043
60164	1663
60164	10026
4748	9116
4748	12336
4748	8555
3278	15739
3278	12691
3278	2835
3278	12933
5593	14352
5593	1744
5593	5257
5593	13996
3784	2953
3784	8540
3784	6245
3784	7325
3784	14717
3784	3938
3784	9178
3397	10801
3397	1172
3397	7470
6436173	7470
119	12709
119	11137
119	2006
1349907	6155
3964	9116
3964	12336
3964	15449
3964	3423
3964	5998
3964	9915
3964	10789
3964	5372
3964	8393
3964	3923
3964	3991
3964	7590
3964	11660
3964	5275
3964	3563
3964	16780
3964	13333
3964	9793
3964	5257
3964	13996
3964	1744
3964	14352
3964	11963
3964	5232
3964	11974
3964	171
3964	5232
3964	12754
3964	11186
3964	1829
3964	2217
3964	523
3964	3174
2973	3788
77992	10789
77992	9915
4659569	9043
119182	11420
119182	4767
145068	3669
145068	16612
145068	15237
3637	5755
3637	2546
3637	15458
4195	11660
4195	5275
4195	11473
82146	14813
82146	10800
82146	8880
4932	14372
4932	2310
4932	9793
4932	5156
2266	1183
2266	16551
2266	2514
2369	9793
2369	5156
3291	8801
2725	12754
2725	2217
2725	523
2725	3174
4913	14372
4913	8846
4913	2310
3562	5242
3562	15226
3562	3861
3562	9169
3562	1015
3562	12690
3562	14430
3562	4378
3562	16537
3562	4255
3562	9080
3562	2437
3562	13729
3562	7348
3562	11794
3562	16323
3562	8646
2727	5055
2370	1744
2370	5257
2370	13996
2370	14352
2370	11963
5070	14372
5070	3586
51634	10730
2170	523
2170	2217
2170	9116
2170	12336
2170	3563
2170	11660
2170	5257
2170	13729
2170	15449
2170	3423
2170	3991
2170	7590
2170	11974
2170	171
2170	12754
2170	11473
2170	11963
2170	1929
2170	8393
2170	5998
2170	9915
2170	13333
2170	1829
2170	16323
2170	3174
4011	523
4011	12754
4011	5257
4011	13996
4011	1744
4011	14352
4011	11963
4011	11473
4011	15449
4011	3423
4011	7590
4011	9116
4011	13333
2182	8799
5482	9
