drug	protein
DB00940	1744
DB00940	14352
DB00940	11963
DB00209	5257
DB00209	1744
DB01199	13238
DB01199	8393
DB01199	4999
DB01199	14303
DB00572	5257
DB00572	13996
DB00572	1744
DB00572	14352
DB00572	11963
DB00572	14430
DB00572	9968
DB00572	9626
DB00908	14372
DB00908	9250
DB00908	2524
DB00908	2310
DB00908	11660
DB00908	5275
DB00908	11473
DB00462	5257
DB00462	13996
DB00462	1744
DB01062	1744
DB01062	13996
DB01062	5257
DB00967	12754
DB03754	3788
DB01370	13313
DB01370	15739
DB01370	4825
DB01370	3788
DB00415	11068
DB00415	14643
DB00415	11565
DB00615	7414
DB00615	4688
DB00252	14372
DB00252	5029
DB00252	7470
DB00252	13879
DB00252	3723
DB00252	2310
DB00252	8924
DB00252	10909
DB00252	8282
DB00252	16323
DB01154	13729
DB01154	1151
DB01154	8198
DB01045	7470
DB01320	14372
DB00564	13379
DB00564	9968
DB00564	7470
DB00794	13729
DB00794	14917
DB00794	9978
DB00794	2685
DB00794	7452
DB00794	3364
DB00794	9968
DB00794	14303
DB00794	4421
DB00794	13885
DB00794	16323
DB01174	13729
DB01174	9968
DB01174	14303
DB01174	4421
DB01174	13885
DB01174	1015
DB01174	7470
DB00312	13729
DB00312	14917
DB00312	9978
DB00312	2685
DB00312	7452
DB00312	3364
DB00312	9968
DB00312	14303
DB00312	4421
DB00312	13885
DB00312	16323
DB00312	1015
DB00312	7470
DB00673	5025
DB00849	13729
DB00849	14917
DB00849	9978
DB00849	2685
DB00849	7452
DB00849	3364
DB00849	9968
DB00849	14303
DB00849	4421
DB00849	13885
DB00849	7470
DB01351	13729
DB01351	14917
DB01351	9978
DB01351	2685
DB01351	7452
DB01351	3364
DB01351	9968
DB01351	14303
DB01351	4421
DB01351	13885
DB00418	13729
DB00418	14917
DB00418	9978
DB00418	2685
DB00418	7452
DB00418	3364
DB00418	9968
DB00418	14303
DB00418	4421
DB00418	13885
DB00418	1015
DB01220	7470
DB00165	4075
DB00559	5924
DB00559	11176
DB00474	13729
DB09280	8
DB00400	1526
DB01355	13729
DB01355	14917
DB01355	9978
DB01355	2685
DB01355	7452
DB01355	3364
DB01355	9968
DB01355	14303
DB01355	4421
DB01355	13885
DB00599	13729
DB00599	14917
DB00599	9978
DB00599	2685
DB00599	7452
DB00599	3364
DB00599	9968
DB00599	14303
DB00599	4421
DB00599	13885
DB00599	1207
DB00599	1744
DB01437	13729
DB01437	16323
DB00451	2730
DB00451	12712
DB00451	2110
DB00451	15961
DB01583	2730
DB01583	12712
DB00279	2730
DB00279	12712
DB00279	11430
DB00590	11660
DB00590	11473
DB00590	7099
DB00590	5275
DB00421	8685
DB00421	10801
DB00421	6624
DB00421	930
DB00421	6675
DB00421	9906
DB00421	2668
DB00421	11641
DB00421	13235
DB00421	7470
DB00706	11660
DB00706	11473
DB00706	5275
DB01162	11660
DB01162	5275
DB01162	11473
DB01162	2310
DB01162	16169
DB01162	7099
DB01162	604
DB06207	11660
DB06207	11473
DB06207	5275
DB06207	7099
DB00457	11660
DB00457	5275
DB00457	11473
DB00457	2310
DB00457	3563
DB00457	16780
DB00457	11473
DB00346	11660
DB00346	5275
DB00346	11473
DB00346	11473
DB00598	9793
DB00598	5156
DB00598	11473
DB01136	9793
DB01136	11660
DB01136	3603
DB01136	5156
DB01136	16624
DB01136	11064
DB01136	3691
DB01136	2310
DB01136	4234
DB01136	11473
DB01136	5275
DB01136	13333
DB01136	16780
DB01136	3563
DB01136	7101
DB01136	15458
DB01136	5259
DB01136	1218
DB01136	11473
DB01069	12754
DB01069	9116
DB01069	5257
DB01069	13996
DB01069	1744
DB01069	14352
DB01069	11963
DB01069	13333
DB01069	8555
DB01069	11186
DB01069	13379
DB06605	10931
DB00682	12501
DB00682	7470
DB00975	15472
DB00975	10449
DB00975	8330
DB00975	11680
DB00975	11740
DB00975	2003
DB00244	9427
DB00244	9064
DB00244	10750
DB00244	3920
DB00244	10000
DB00244	15227
DB00244	715
DB06228	10931
DB00946	12501
DB00278	5429
DB00006	5429
DB00498	12501
DB06695	5429
DB09075	10931
DB01418	12501
DB00266	12501
DB00266	6231
DB00266	13998
DB06441	5331
DB00208	5331
DB00569	9472
DB00569	10931
DB06154	6424
DB06154	7299
DB04898	5429
DB00775	2357
DB00775	15961
DB12598	5429
DB12598	10931
DB12598	1640
DB12598	5446
DB12598	4825
DB12598	2769
DB08814	9064
DB08814	780
DB08814	6778
DB08814	15472
DB04272	16414
DB04272	3281
DB04272	7055
DB04272	6764
DB04272	14656
DB04272	14938
DB04272	9742
DB04272	705
DB04272	11332
DB04272	3828
DB04272	11583
DB04272	7922
DB04272	10602
DB04272	12865
DB04272	4909
DB00412	3920
DB00412	7724
DB00412	13279
DB00412	5631
DB00412	14813
DB00412	10800
DB00412	8880
DB00261	8799
DB04743	9427
DB04743	10863
DB04743	938
DB00686	2712
DB00686	16796
DB00686	153
DB11079	9064
DB11079	9427
DB08816	5331
DB00758	5331
DB11362	4058
DB09030	6338
DB06209	5331
DB01166	8799
DB00945	9064
DB00945	9427
DB00945	11704
DB00945	13889
DB00945	5924
DB00945	3119
DB00945	6556
DB00945	11494
DB00945	407
DB00945	1214
DB00945	15310
DB00945	5638
DB00945	15227
DB00945	5635
DB00945	795
DB00945	16700
DB00945	11430
DB00945	10940
DB01240	5331
DB01240	4058
DB01240	1237
DB01014	3920
DB01014	9427
DB01014	9064
DB01014	10750
DB01250	5752
DB01250	843
DB00233	9427
DB00233	10000
DB00233	10750
DB00233	10863
DB00861	9427
DB00861	9064
DB00235	8799
DB00751	12754
DB00751	11186
DB00751	11660
DB00751	3563
DB00751	15449
DB00751	7590
DB01207	13744
DB01207	13591
DB00972	12754
DB00972	11186
DB00972	5750
DB00972	4132
DB01088	4058
DB01088	4124
DB01088	11680
DB01088	7133
DB01088	8383
DB01088	8185
DB01088	549
DB01088	7199
DB07615	4270
DB00770	1288
DB00770	4124
DB00770	7199
DB01236	13729
DB01236	14430
DB01236	15167
DB01236	14902
DB01236	9080
DB01236	16323
DB01236	12576
DB09283	2240
DB09283	14853
DB00806	7473
DB00806	9375
DB00806	1876
DB02709	11643
DB02709	431
DB02709	9064
DB02709	9427
DB02709	16097
DB02709	10750
DB02709	1172
DB02709	2773
DB02709	4160
DB02709	15961
DB02709	3788
DB02709	7619
DB02709	286
DB02709	14217
DB02709	4954
DB02709	1839
DB02709	8894
DB02709	7470
DB02709	9527
DB02709	14603
DB02709	4018
DB02709	13279
DB02709	3920
DB02709	15931
DB02709	12889
DB02709	10583
DB05266	11680
DB05266	7133
DB05266	8383
DB05266	8185
DB05266	8799
DB08954	16539
DB08954	10209
DB08954	4255
DB08954	16537
DB08954	15317
DB00903	15739
DB00903	12691
DB00903	2835
DB00903	12933
DB00230	8540
DB01037	11298
DB01037	7800
DB09270	8254
DB09270	2785
DB00805	7800
DB00805	1929
DB00805	15449
DB00805	3423
DB00805	4999
DB00805	2217
DB00805	12336
DB00805	9116
DB00805	5257
DB01247	7800
DB01247	11298
DB01408	5156
DB09244	7800
DB09244	5998
DB09244	3563
DB00182	4597
DB00182	3174
DB00182	4451
DB00182	3395
DB00182	523
DB00182	13333
DB00182	8044
DB00182	9116
DB00182	11298
DB00182	2217
DB00182	11298
DB01171	7800
DB01171	11298
DB01171	11298
DB01367	11298
DB01367	12883
DB00752	11298
DB00752	7800
DB00780	7800
DB00780	11298
DB00780	5755
DB00780	12698
DB00780	12497
DB00780	8164
DB01626	11298
DB01626	7800
DB09245	7800
DB01168	11298
DB09241	3669
DB09241	16583
DB00672	5055
DB08907	6822
DB00738	11255
DB01067	5055
DB01067	3920
DB00280	14372
DB00280	5257
DB00280	13996
DB00280	1744
DB00280	7250
DB00280	6213
DB00280	2310
DB00280	13813
DB01124	5055
DB01124	12219
DB00491	15803
DB00491	5187
DB00491	7778
DB00491	6703
DB01261	8960
DB06292	6822
DB06203	8960
DB06335	8960
DB00731	5055
DB00731	3920
DB00284	15803
DB00284	2696
DB00284	16847
DB00284	5187
DB01120	5055
DB01120	16624
DB08882	8960
DB01268	2240
DB01268	3683
DB01268	3937
DB01268	2611
DB01268	2271
DB01268	1168
DB01268	3844
DB01268	1851
DB01132	3920
DB01132	11298
DB00834	6624
DB00834	930
DB00834	5880
DB00834	7470
DB00468	5054
DB00468	2437
DB00331	858
DB00331	15074
DB00331	4794
DB00839	8198
DB00222	8198
DB00222	12219
DB00222	5055
DB09038	6822
DB00912	5055
DB00912	3920
DB01016	8198
DB01016	2127
DB01016	2596
DB01016	10809
DB01016	1151
DB01016	2888
DB01016	8
DB01016	1590
DB01251	5055
DB01251	1151
DB01200	9116
DB01200	11974
DB01200	10789
DB01200	3563
DB01200	5998
DB01200	13333
DB01200	16780
DB01200	1929
DB01200	171
DB01200	15449
DB01200	9915
DB01200	3423
DB01200	5232
DB01200	12336
DB01200	11660
DB01200	5275
DB01200	11473
DB01200	7590
DB06791	8635
DB06791	4195
DB01289	1151
DB06663	3010
DB06663	8635
DB06663	16812
DB06663	4195
DB00419	10730
DB04878	15803
DB00914	8247
DB00914	1151
DB01252	5055
DB01252	3920
DB04876	8960
DB00862	8330
DB00862	6867
DB00862	2955
DB00203	8330
DB00203	6867
DB00203	2955
DB00820	8330
DB00820	3835
DB00820	6867
DB00484	3563
DB00484	16780
DB00484	13333
DB06237	8330
DB06267	8330
DB13179	7470
DB06739	13744
DB00619	5022
DB00619	3937
DB00619	8413
DB00619	15249
DB00619	3844
DB00619	1851
DB00619	10344
DB00619	2240
DB01149	15449
DB01149	3423
DB01149	2217
DB01149	5998
DB01149	523
DB01149	3174
DB01149	5275
DB01149	3563
DB01149	11660
DB01149	2310
DB00176	2217
DB00176	2310
DB00333	13800
DB00333	1015
DB00333	1028
DB00333	8393
DB00333	14303
DB00333	5962
DB00333	9968
DB00333	9626
DB08865	12030
DB08865	6055
DB00648	4116
DB00648	2062
DB00648	14217
DB00648	6624
DB00648	10801
DB01213	268
DB01213	5267
DB01213	15054
DB01213	1160
DB00823	6624
DB00823	14217
DB01012	14843
DB09123	6624
DB09123	10801
DB01167	9
DB09074	9283
DB09074	1470
DB09074	12946
DB12332	9283
DB12332	1470
DB12332	12946
DB00257	2437
DB00257	7470
DB00257	12091
DB00243	6429
DB00243	5259
DB00243	15496
DB00243	11473
DB00243	9793
DB00184	9968
DB00184	14303
DB00184	9626
DB00184	13238
DB00184	5962
DB00184	4670
DB00184	3432
DB00184	5782
DB00184	1481
DB00184	3995
DB00184	2230
DB00184	12674
DB00184	7521
DB00215	2217
DB00215	12754
DB01026	10801
DB01026	9906
DB01026	14337
DB01026	2310
DB01026	7470
DB01026	9527
DB04871	3423
DB01118	7099
DB01118	8044
DB01118	13235
DB01118	15496
DB01118	3920
DB01118	13279
DB01118	5780
DB00304	6624
DB00304	14217
DB01211	2310
DB01211	1832
DB01211	2126
DB00502	9116
DB00502	12336
DB00502	16539
DB00502	15449
DB00502	11974
DB00502	1423
DB00502	4597
DB00502	3423
DB00502	3461
DB00502	12754
DB00502	1744
DB00502	11660
DB00502	3563
DB00502	16780
DB00502	13333
DB00502	5998
DB00502	3991
DB00502	7590
DB06730	6624
DB00860	930
DB00285	2217
DB00285	523
DB00285	3174
DB00246	9116
DB00246	12336
DB00246	5232
DB00246	15449
DB00246	11974
DB00246	171
DB00246	5998
DB00246	9915
DB00246	10789
DB00246	5372
DB00246	3423
DB00246	3991
DB00246	7590
DB00246	12754
DB00246	11660
DB00246	5275
DB00246	3563
DB00246	16780
DB00246	13333
DB00246	5257
DB00246	13996
DB00246	1744
DB00246	14352
DB00246	11963
DB00246	14250
DB00246	3923
DB00213	2396
DB00213	3745
DB08869	6258
DB04855	11660
DB04855	5275
DB04855	11473
DB04855	3563
DB04855	16780
DB04855	13333
DB04855	9793
DB04855	2310
DB04855	2953
DB04855	3938
DB04855	11035
DB04855	9178
DB04855	12409
DB04855	6245
DB04855	4787
DB04855	15496
DB04855	13774
DB04855	14372
DB04855	4255
DB04855	114
DB04855	5259
DB04855	13206
DB04855	6213
DB04855	2730
DB05521	1832
DB05521	3985
DB06595	14335
DB06595	2611
DB06595	3937
DB06595	1851
DB06595	2240
DB06595	1168
DB00603	6624
DB00603	14217
DB00603	16597
DB00603	16323
DB00951	10164
DB00951	7916
DB00951	7588
DB00951	10172
DB00289	523
DB00289	2217
DB00289	1015
DB00289	4255
DB00289	2881
DB00188	9203
DB00188	2314
DB00882	14217
DB00882	11641
DB00270	2953
DB00270	8540
DB00270	6245
DB00270	7325
DB00270	14717
DB00270	3938
DB00270	9178
DB01151	523
DB01151	5156
DB01151	2217
DB01151	15449
DB01151	9793
DB01151	7773
DB01151	12754
DB01151	11473
DB01151	5257
DB01151	13996
DB01151	1744
DB01151	14352
DB01151	11963
DB01151	5998
DB01151	3423
DB01151	9116
DB01151	13333
DB00501	11186
DB00367	6624
DB00367	3340
DB00367	14217
DB00367	10801
DB00367	11641
DB00367	930
DB00343	760
DB00343	2953
DB04953	8803
DB04953	12024
DB04953	2444
DB04953	8146
DB06603	14334
DB09054	11198
DB06713	6624
DB06713	4333
DB06713	10801
DB00472	2217
DB00472	3423
DB00472	13238
DB00472	5962
DB00472	2230
DB00472	5641
DB00472	2310
DB00872	4639
DB00872	8786
DB00921	13800
DB00921	2881
DB00921	1028
DB00921	7492
DB01085	1744
DB01085	5257
DB01085	13996
DB01085	14352
DB00458	523
DB00458	15449
DB00458	2217
DB00458	12754
DB00458	11660
DB00458	11473
DB00458	5257
DB00458	13996
DB00458	1744
DB00458	14352
DB00458	11963
DB00458	7250
DB00458	6213
DB00458	3423
DB00458	5275
DB00458	7590
DB00458	5232
DB00458	9116
DB00458	2310
DB00458	3174
DB00458	5998
DB00458	3991
DB00458	3223
DB00458	13813
DB09167	5998
DB09167	15449
DB09167	12754
DB09167	5257
DB09167	13996
DB09167	1744
DB09167	14352
DB09167	11963
DB09167	13333
DB09167	11473
DB09167	523
DB09167	2217
DB01053	7536
DB01053	11068
DB01053	14643
DB00636	13279
DB01241	13279
DB01241	1832
DB01241	7536
DB01241	3985
DB01241	2126
DB00713	11068
DB00713	14643
DB00715	2217
DB00715	523
DB00715	15449
DB00715	11473
DB00715	13333
DB00715	8044
DB00715	9116
DB00715	12754
DB00715	7590
DB00715	11963
DB00715	1929
DB00715	5232
DB01156	3174
DB01156	523
DB01156	5962
DB01156	8393
DB05351	2396
DB05351	7326
DB05351	3745
DB00268	11974
DB00268	171
DB00268	13333
DB00268	9116
DB00448	2396
DB00448	7809
DB00199	477
DB00199	2310
DB01242	2217
DB01242	15449
DB01242	1929
DB01242	3423
DB01242	523
DB01242	12933
DB09291	5025
DB00195	9793
DB00195	5156
DB00957	6624
DB00957	10801
DB00957	14217
DB00091	4485
DB00091	10818
DB00091	14798
DB00091	713
DB00294	6624
DB09039	10730
DB00349	16323
DB00349	16664
DB00736	2396
DB00736	3745
DB00763	6155
DB00622	2953
DB00622	6245
DB00622	8540
DB00622	3938
DB00622	14375
DB00622	1202
DB00622	11660
DB00622	5275
DB00622	11473
DB00622	5257
DB00622	13996
DB00622	1744
DB00622	14352
DB00622	11963
DB00622	8555
DB01104	2217
DB01104	3174
DB01104	3461
DB01104	523
DB01104	12735
DB01110	4518
DB01110	6778
DB01110	7470
DB01110	16872
DB01110	5259
DB01110	15496
DB00273	13729
DB00273	13379
DB00273	2440
DB00273	3806
DB00273	4775
DB00273	15225
DB00273	3807
DB00273	15496
DB00273	9447
DB09119	8897
DB08899	10801
DB06413	3174
DB00863	11186
DB00863	4999
DB05812	9906
DB00608	14839
DB00608	13956
DB00608	8979
DB00608	8170
DB00608	5678
DB00608	13586
DB01129	2396
DB00255	14217
DB00255	9309
DB00255	8055
DB00255	13215
DB00255	14941
DB00255	14005
DB00255	7470
DB00255	10801
DB00255	11641
DB00363	9116
DB00363	15449
DB00363	12336
DB00363	11974
DB00363	171
DB00363	5998
DB00363	9915
DB00363	10789
DB00363	5372
DB00363	8393
DB00363	3423
DB00363	3991
DB00363	7590
DB00363	12754
DB00363	1829
DB00363	11660
DB00363	5275
DB00363	3563
DB00363	16780
DB00363	13333
DB00363	5257
DB00363	13996
DB00363	1744
DB00363	14352
DB00363	11963
DB00363	1595
DB00363	12933
DB04868	10344
DB04868	3937
DB00477	9116
DB00477	12336
DB00477	5998
DB00477	15449
DB00477	11660
DB00477	5275
DB00477	12754
DB00477	2310
DB00477	5232
DB00477	11974
DB00477	171
DB00477	5232
DB00477	3423
DB00477	3423
DB00477	11473
DB00477	13333
DB00477	5257
DB00477	1744
DB00477	7773
DB00477	8555
DB00477	13813
DB00477	3991
DB00477	7590
DB00477	1829
DB00227	3926
DB00227	8533
DB00227	15218
DB00420	9116
DB00420	15449
DB00420	3423
DB00420	11660
DB00420	5257
DB00420	12754
DB00320	9915
DB00320	10789
DB00320	6465
DB00320	3563
DB00320	5998
DB00320	5372
DB00320	15449
DB00320	1929
DB00320	3423
DB00320	11473
DB00320	13333
DB00320	9116
DB00320	11974
DB00320	171
DB00320	8982
DB00320	8044
DB08893	8044
DB08893	9793
DB01191	2217
DB01191	3423
DB00476	2217
DB00476	523
DB00476	3174
DB00482	9427
DB00482	8076
DB00482	3806
DB00482	3807
DB00482	3075
DB01234	930
DB01234	11412
DB01234	11123
DB01234	6778
DB01234	7470
DB00338	2396
DB00338	1172
DB01395	6624
DB01395	8685
DB01395	10801
DB01395	930
DB01006	12674
DB00169	15800
DB00170	994
DB00170	12501
DB00170	14133
DB00170	5429
DB00170	464
DB00170	1002
DB00170	12397
DB00170	11643
DB00170	6231
DB00170	9593
DB09238	8924
DB09238	13235
DB09389	6624
DB09389	3340
DB09389	10801
DB00446	9337
DB00661	2953
DB00661	10176
DB00661	8924
DB00661	8198
DB00661	8801
DB00661	7325
DB00661	2310
DB00661	2217
DB00661	11660
DB00661	5275
DB00661	11473
DB01075	12754
DB01075	13996
DB01043	8393
DB01043	14303
DB01043	9116
DB01043	10209
DB01043	1015
DB01043	16323
DB01043	2702
DB00503	7470
DB06712	2953
DB06712	8540
DB06712	6245
DB06712	3938
DB06712	9178
DB06712	14774
DB01011	4116
DB09198	3920
DB00381	2953
DB00381	10176
DB00381	12409
DB00381	14774
DB00381	15225
DB00381	7773
DB00381	13235
DB00381	10176
DB00857	2918
DB00207	10913
DB00417	11068
DB00745	3174
DB00745	5275
DB01059	14427
DB01188	15739
DB09031	16597
DB00936	9064
DB00936	9427
DB00936	11704
DB01099	8846
DB01157	13853
DB01422	6635
DB01007	9
DB03793	816
DB03793	11068
DB04794	6589
DB00877	9053
DB01034	5102
DB01091	2918
DB01127	7470
DB00735	2918
DB00239	7470
DB00866	9793
DB00866	5156
DB00866	5998
DB00866	8044
DB00612	9793
DB00612	5156
DB00373	9793
DB00373	5156
DB00335	9793
DB00335	5156
DB08808	9793
DB08808	5156
DB08808	8044
DB04846	9793
DB04846	5156
DB04846	8044
DB04846	3563
DB04846	16780
DB04846	13333
DB01580	9793
DB01580	5156
DB01580	8044
DB01359	9793
DB01359	5156
DB01359	5998
DB01359	9915
DB00264	9793
DB00264	5156
DB08807	9793
DB08807	5156
DB08807	5998
DB08807	9915
DB08807	8044
DB04861	9793
DB04861	5156
DB04861	8044
DB01193	9793
DB01193	5156
DB00187	9793
DB00521	5156
DB00521	9793
DB00531	7470
DB00552	10449
DB00206	4597
DB00206	13510
DB00206	4844
DB00611	2881
DB00611	1028
DB00611	13800
DB00807	13634
DB01041	941
DB01041	13956
DB01041	780
DB01041	14374
DB01041	9427
DB01041	13813
DB00433	9116
DB00433	12754
DB00433	11473
DB00433	13333
DB09034	13166
DB09034	16546
DB00898	13729
DB00898	9169
DB00898	14430
DB00898	462
DB00898	12409
DB00898	8393
DB00898	14917
DB00898	1481
DB00898	2953
DB00898	7452
DB00898	2685
DB00898	9978
DB00898	15167
DB00898	760
DB00898	13238
DB00898	3364
DB00898	4421
DB00898	3686
DB00898	16851
DB00898	9968
DB00898	9626
DB00898	4255
DB00898	16537
DB00898	4234
DB00898	12350
DB00898	15317
DB00898	14303
DB00898	5782
DB00898	4284
DB00898	5447
DB00898	3365
DB00898	9178
DB00898	3938
DB00898	2230
DB00898	5962
DB00898	4670
DB00898	3432
DB00898	3995
DB00898	4282
DB00898	16664
DB00898	9982
DB00898	15206
DB00898	16323
DB00898	11367
DB00898	8619
DB00898	14250
DB00898	2053
DB00898	11917
DB00898	6442
DB00898	4715
DB00898	9556
DB00898	9934
DB00425	13729
DB00425	14917
DB00425	9978
DB00425	14391
DB01403	9116
DB01403	12336
DB01403	5232
DB01403	11974
DB01403	171
DB01403	15449
DB01403	3423
DB01403	12754
DB01403	5257
DB01403	13996
DB01403	1744
DB01403	14352
DB01403	11963
DB01403	11660
DB01403	5275
DB01403	11473
DB01403	3563
DB01403	16780
DB01403	13333
DB01114	12754
DB01114	2217
DB01114	523
DB01114	3174
DB00405	12754
DB00956	13800
DB00956	1028
DB00956	3461
DB00370	15449
DB00370	3563
DB00370	3423
DB00370	2881
DB00370	12754
DB00370	11473
DB00371	13729
DB00371	14917
DB00371	9978
DB00371	2685
DB00371	7452
DB00371	3364
DB00371	16323
DB00588	930
DB00588	6624
DB00588	9425
DB00588	8685
DB04844	4597
DB04844	9116
DB01215	16323
DB01215	16664
DB06716	3365
DB06716	5447
DB09224	9116
DB13872	16323
DB13872	16664
DB00633	3563
DB00656	15449
DB00656	3423
DB00656	2217
DB00656	5998
DB00656	12754
DB00656	11660
DB00656	3563
DB00575	3563
DB00575	16780
DB00575	13333
DB00575	11660
DB00575	5275
DB00575	11473
DB01466	13800
DB00623	9116
DB00623	12336
DB00623	8555
DB00623	10801
DB00623	15449
DB00623	3423
DB00490	5998
DB00490	9116
DB00490	11974
DB00490	171
DB00490	11473
DB00831	9116
DB00831	1595
DB00831	11660
DB00831	8555
DB00831	959
DB00831	9670
DB00801	16323
DB00801	16664
DB00628	16323
DB00628	16664
DB00404	16323
DB00404	16664
DB08872	8540
DB08872	14717
DB00297	13634
DB00297	4124
DB00726	2217
DB00726	523
DB00726	3174
DB00726	15449
DB00726	5998
DB00726	11660
DB00726	5275
DB00726	9116
DB00726	16780
DB00726	12754
DB00726	3423
DB00726	8393
DB00726	10789
DB00726	3563
DB00726	5232
DB00726	8044
DB00726	11963
DB06204	13800
DB06204	523
DB06204	2881
DB06204	1028
DB06204	8393
DB06204	2217
DB06288	9116
DB06288	11974
DB06288	7590
DB06288	15449
DB06288	13800
DB06288	1028
DB06288	2881
DB00327	13800
DB00327	1028
DB00327	2881
DB00494	9043
DB04908	5998
DB04908	15449
DB04908	171
DB00186	16323
DB00186	16664
DB00356	3861
DB09085	8859
DB09085	9242
DB09085	13379
DB00423	15225
DB00647	13800
DB00647	1028
DB00647	2881
DB00647	8959
DB00753	13729
DB00753	14902
DB00753	14430
DB00753	15167
DB00753	11922
DB00753	294
DB00753	8555
DB00753	16323
DB00753	9968
DB00753	9626
DB09071	4954
DB09071	1839
DB00323	9043
DB01159	5242
DB01159	15226
DB01159	3861
DB01159	9169
DB01159	1015
DB01159	12690
DB01159	14430
DB01159	4378
DB01159	16537
DB01159	4255
DB01159	9080
DB01159	2437
DB01159	13729
DB01159	7348
DB01159	11794
DB01159	16323
DB01159	8646
DB00854	13800
DB00854	1028
DB00854	2881
DB01002	13634
DB00292	13729
DB00292	16780
DB00292	16323
DB09128	5998
DB09128	9116
DB09128	15449
DB09128	13333
DB09128	5275
DB00813	13800
DB00813	1028
DB00813	2881
DB00813	16597
DB09286	9116
DB09286	15449
DB09286	11473
DB09286	171
DB09286	12336
DB09286	11974
DB09286	1929
DB09286	3563
DB08910	941
DB08910	13956
DB08910	9427
DB09342	13379
DB00750	14372
DB00985	12754
DB00949	16539
DB00949	12690
DB01614	9116
DB01614	12336
DB01614	15449
DB01614	5998
DB01614	11660
DB01614	5275
DB01080	12698
DB00409	9116
DB00409	171
DB00409	11974
DB00409	15449
DB00409	3461
DB00961	13634
DB00454	2881
DB00454	10209
DB00454	16539
DB00454	12690
DB00454	4148
DB00454	2507
DB00454	11963
DB00454	13800
DB00454	3174
DB00454	523
DB00454	2217
DB00454	8959
DB00818	3365
DB00818	5447
DB00818	13854
DB00818	10909
DB00818	16323
DB00907	3174
DB00907	523
DB00907	6429
DB00907	2217
DB00907	5257
DB00907	13996
DB00907	3461
DB00907	8959
DB01440	4284
DB01545	16323
DB01545	16664
DB00771	5257
DB00486	10763
DB00486	9831
DB01065	4954
DB01065	1839
DB01065	14217
DB01065	11120
DB01065	8555
DB01065	715
DB01065	720
DB01065	6308
DB01065	11755
DB01065	11643
DB00341	12754
DB01142	12754
DB01142	11186
DB01142	523
DB01142	2217
DB01142	15449
DB01142	1929
DB01142	3423
DB01142	5257
DB01142	13996
DB01142	1744
DB01142	14352
DB01142	11963
DB01142	11660
DB01142	5275
DB01142	11473
DB01142	5998
DB01142	3991
DB01142	1829
DB01142	2310
DB01106	12754
DB01106	5037
DB01618	9116
DB01618	5998
DB01618	15449
DB01618	5257
DB00690	16323
DB00690	16664
DB00228	16323
DB00228	14902
DB00228	1015
